${sku},${url},${unit},${order_by}
"10000449",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000449_ea_1200_1.jpg,EA,1
"10000449",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000449_ea_1200_2.jpg,EA,2
"10000453",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000453_s_1200_1.jpg,ZWF,1
"10000458",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000458_ea_1200_3_1.jpg,EA,1
"10000458",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000458_ea_1200_1_1.jpeg,EA,2
"10000458",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000458_ea_1200_2_1.jpg,EA,3
"10000458",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000458_ea_1200_3_1_1.jpg,EA,4
"10000458",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000458_ea_1200_1_1_1.jpeg,EA,5
"10000458",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000458_ea_1200_2_1_1.jpg,EA,6
"10000462",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000462_ea_1200_1_4_1.jpg,EA,6
"10000474",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000474_ea_1200_1.jpg,ZWF,1
"10000474",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000474_ea_1200_2.jpg,ZWF,2
"10000478",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000478_ea_1200_1.jpg,EA,1
"10000478",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000478_ea_1200_1_1.jpg,EA,2
"10000508",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000508_sen_1200_1.jpg,PL,1
"10000509",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000509_sen_1200_1.jpg,PL,1
"10000560",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000560_ea_1200_1.jpg,EA,1
"10000562",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000562_ea_1200_1.jpg,EA,1
"10000586",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000586_ea_1200_1.jpg,EA,1
"10000586",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000586_ea_1200_2.jpg,EA,2
"10000594",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000594_can_1200_1.jpg,CAN,1
"10000594",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000594_can_1200_1_1.jpg,CAN,2
"10000607",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000607_bt_p1.jpg,BT,3
"10000611",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000611_bt_1200_1.jpg,BT,1
"10000615",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000615_bt_p1.jpg,BT,3
"10000619",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000619_can_1200_1.jpg,CAN,1
"10000619",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000619_can_1200_1_1.jpg,CAN,2
"10000632",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000632_s_1200_1.jpg,ZWF,1
"10000637",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000637_s_1200_1.jpg,ZWF,1
"10000637",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000637_s_1200_1_1.jpg,ZWF,2
"10000637",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000637_s_1200_1_2.jpg,ZWF,3
"10000637",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000637_s_1200_1_3.jpg,ZWF,4
"10000637",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000637_s_1200_1_4.jpg,ZWF,5
"10000641",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000641_b_1200_1.jpg,B,1
"10000646",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000646_b_1200_1.jpg,B,1
"10000647",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000647_ea_1200_1_1.jpg,EA,1
"10000649",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000649_ea_1200_1_1.jpg,EA,1
"10000649",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000649_ea_1200_2_1.jpg,EA,2
"10000651",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000651_ea_1200_1_1.jpg,EA,1
"10000651",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000651_ea_1200_2_1.jpg,EA,2
"10000652",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000652_ea_1200_1_1.jpg,EA,1
"10000654",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000654_b_1200_1.jpg,B,1
"10000654",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000654_b_1200_2.jpg,B,2
"10000654",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000654_b_1200_3.jpg,B,3
"10000654",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000654_b_1200_4.jpg,B,4
"10000656",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000656_ea_1200_2_1.jpg,EA,1
"10000656",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000656_ea_1200_3_1.jpg,EA,2
"10000656",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000656_ea_1200_1_1.jpg,EA,3
"10000656",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000656_ea_1200_4_1.jpg,EA,4
"10000658",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000658_ba1_1200_1.jpg,BAI,1
"10000659",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000659_ea_1200_1_1.jpg,EA,1
"10000663",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000663_ea_1200_1_1.jpg,EA,1
"10000664",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000664_b_1200_1_1.jpg,EA,1
"10000664",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000664_b_1200_2_1.jpg,EA,2
"10000681",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000681_s_1200_1.jpg,ZWF,1
"10000701",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000701_ea_1200_1.jpg,EA,1
"10000706",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000706_pl_1200_1.jpg,PL,1
"10000710",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000710_pl_1200_1.jpg,PL,1
"10000756",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000756_bai_1200_1.jpg,BAI,1
"10000783",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000783_p_1200_1.jpg,ZWG,1
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_4.jpg,EA,1
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1.jpg,EA,2
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_1.jpg,EA,3
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_2.jpg,EA,4
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_3.jpg,EA,5
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_4_1.jpg,EA,6
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_5.jpg,EA,7
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_1_1.jpg,EA,8
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_2_1.jpg,EA,9
"10000794",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000794_ea_1200_1_3_1.jpg,EA,10
"10000799",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000799_ea_1200_1.jpg,EA,1
"10000799",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000799_ea_1200_2.jpg,EA,2
"10000801",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000801_ea_1200_1.jpg,EA,1
"10000801",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000801_ea_1200_2.jpg,EA,2
"10000828",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000828_p_1200_1.jpg,ZWG,1
"10000828",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000828_p_1200_2.jpg,ZWG,2
"10000835",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000835_ea_1200_1_1.jpg,EA,1
"10000835",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000835_ea_1200_2_1.jpg,EA,2
"10000843",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000843_ea_1200_1_2.jpg,EA,1
"10000843",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000843_ea_1200_2_2.jpg,EA,2
"10000855",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000855_paa_1200_1.jpg,P10,1
